object_id,Z,EBV,Z_err,Z_isna,EBV_isna,Zerr_isna,is_train
Dornhoth_fervain_onodrim,3.049,0.11,,0,0,1,1
Dornhoth_galadh_ylf,0.4324,0.058,,0,0,1,1
Elrim_melethril_thul,0.4673,0.577,,0,0,1,1
Ithil_tobas_rodwen,0.6946,0.012,,0,0,1,1
Mirion_adar_Druadan,0.4161,0.058,,0,0,1,1
Mirion_lalaith_neledh,1.197,0.054,,0,0,1,1
Rochirrim_lebdas_pethron,0.1806,0.153,,0,0,1,1
acharn_lend_Mithrim,0.1887,0.051,,0,0,1,1
achas_iar_gaur,1.238,0.046,,0,0,1,1
aduial_nur_luith,2.201,0.012,,0,0,1,1
amath_gwador_helegnen,0.7056,0.009,,0,0,1,1
amlug_loss_ang,3.45,0.042,,0,0,1,1
amon_imloth_luin,0.7766,0.055,,0,0,1,1
andrann_puig_fern,0.3568,0.019,,0,0,1,1
ang_cugu_harad,0.7503,0.016,,0,0,1,1
ang_neledh_aith,0.2095,0.118,,0,0,1,1
angos_rusc_curunir,0.215,0.049,,0,0,1,1
annon_adab_lossen,2.736,0.03,,0,0,1,1
araf_hub_faun,0.2929,0.012,,0,0,1,1
aras_ryn_manadh,0.3513,0.03,,0,0,1,1
badhor_graw_aiglos,1.206,0.013,,0,0,1,1
badhor_magol_merilin,1.429,0.062,,0,0,1,1
badhor_onodrim_alagos,0.2254,0.03,,0,0,1,1
baneth_pilin_tachol,0.3759,0.019,,0,0,1,1
bragol_bronwe_lagor,0.8324,0.052,,0,0,1,1
bragol_nothrim_gas,0.2525,0.226,,0,0,1,1
celair_aerlinn_aes,0.1663,0.222,,0,0,1,1
cirion_ira_Ithil,0.3325,0.023,,0,0,1,1
corch_faun_min,0.5925,0.014,,0,0,1,1
corf_Mirion_toll,0.5084,0.058,,0,0,1,1
cuin_haudh_cenedril,0.5366,0.013,,0,0,1,1
cuin_law_amon,0.4769,0.067,,0,0,1,1
dam_corch_agar,0.5287,0.205,,0,0,1,1
dirnaith_achas_noroth,0.8448,0.021,,0,0,1,1
drafn_araf_ryn,0.3243,0.01,,0,0,1,1
eilian_pilin_fang,0.1536,0.05,,0,0,1,1
eilian_pod_firiel,0.09443,0.016,,0,0,1,1
elu_rusc_nath,0.826,0.042,,0,0,1,1
elvellon_fast_annon,0.4599,0.05,,0,0,1,1
ennorath_guldur_aear,0.6832,0.008,,0,0,1,1
erchion_ungol_aduial,0.3355,0.01,,0,0,1,1
espalass_melethron_ungol,1.203,0.017,,0,0,1,1
espalass_nestad_hul,0.6164,0.029,,0,0,1,1
fae_haeron_merilin,0.5845,0.008,,0,0,1,1
fang_ira_nell,0.3245,0.036,,0,0,1,1
fast_ang_lebenedh,0.7811,0.018,,0,0,1,1
fast_celeb_bregedur,0.1706,0.285,,0,0,1,1
firiel_lend_mithril,2.401,0.07,,0,0,1,1
fuin_bragol_talraph,0.2981,0.013,,0,0,1,1
galad_thangail_pethron,0.3175,0.055,,0,0,1,1
gas_cair_gondrath,0.1668,0.015,,0,0,1,1
gas_glaur_daen,0.1746,0.025,,0,0,1,1
gaurwaith_Ithil_rhach,0.1758,0.508,,0,0,1,1
gli_lembas_galadhrim,0.4442,0.012,,0,0,1,1
gond_aduial_suil,0.09786,0.023,,0,0,1,1
gond_pent_Dornhoth,0.3305,0.082,,0,0,1,1
gondrath_saer_rach,0.8341,0.094,,0,0,1,1
graw_heledir_lunt,1.032,0.02,,0,0,1,1
graw_idhren_narthan,0.8373,0.018,,0,0,1,1
gul_braig_baug,0.4682,0.077,,0,0,1,1
gwador_thurin_hal,0.1736,0.231,,0,0,1,1
gwathui_adan_barad,0.3883,0.011,,0,0,1,1
gwilwileth_aegas_ah,0.3542,0.037,,0,0,1,1
gwilwileth_ungol_aegas,0.8489,0.083,,0,0,1,1
hand_gwathui_alae,0.8205,0.042,,0,0,1,1
hand_parf_gwathui,1.338,0.097,,0,0,1,1
helegnen_luith_raug,0.1821,0.109,,0,0,1,1
helegnen_tathar_hend,0.8018,0.105,,0,0,1,1
hervess_calad_firiel,0.4009,0.025,,0,0,1,1
hervess_hend_lam,0.4506,0.05,,0,0,1,1
hud_fast_hend,0.1626,0.037,,0,0,1,1
imrad_achas_glamor,0.8,0.015,,0,0,1,1
imrad_nothrim_Sindarin,0.4494,0.014,,0,0,1,1
ingem_hub_lembas,0.3257,0.058,,0,0,1,1
ingem_lost_acharn,0.5344,0.125,,0,0,1,1
ist_acharn_pendrath,0.2138,0.07,,0,0,1,1
lagor_narthan_mindon,0.5087,0.018,,0,0,1,1
lang_lalaith_meldir,0.4382,0.028,,0,0,1,1
law_minuial_cabor,0.815,0.014,,0,0,1,1
lebdas_adab_aglareb,0.3968,0.036,,0,0,1,1
limlug_mindon_iar,0.5887,0.026,,0,0,1,1
