object_id,split,Z,EBV,is_train,target,Z_err
Dornhoth_fervain_onodrim,split_01,3.049,0.11,1,0,
Dornhoth_galadh_ylf,split_01,0.4324,0.058,1,0,
Elrim_melethril_thul,split_01,0.4673,0.577,1,0,
Ithil_tobas_rodwen,split_01,0.6946,0.012,1,0,
Mirion_adar_Druadan,split_01,0.4161,0.058,1,0,
Mirion_lalaith_neledh,split_01,1.197,0.054,1,0,
Rochirrim_lebdas_pethron,split_01,0.1806,0.153,1,0,
acharn_lend_Mithrim,split_01,0.1887,0.051,1,0,
achas_iar_gaur,split_01,1.238,0.046,1,0,
aduial_nur_luith,split_01,2.201,0.012,1,0,
amath_gwador_helegnen,split_01,0.7056,0.009,1,0,
amlug_loss_ang,split_01,3.45,0.042,1,0,
amon_imloth_luin,split_01,0.7766,0.055,1,1,
andrann_puig_fern,split_01,0.3568,0.019,1,0,
ang_cugu_harad,split_01,0.7503,0.016,1,0,
ang_neledh_aith,split_01,0.2095,0.118,1,0,
angos_rusc_curunir,split_01,0.215,0.049,1,0,
annon_adab_lossen,split_01,2.736,0.03,1,0,
araf_hub_faun,split_01,0.2929,0.012,1,0,
aras_ryn_manadh,split_01,0.3513,0.03,1,0,
badhor_graw_aiglos,split_01,1.206,0.013,1,0,
badhor_magol_merilin,split_01,1.429,0.062,1,0,
badhor_onodrim_alagos,split_01,0.2254,0.03,1,0,
baneth_pilin_tachol,split_01,0.3759,0.019,1,0,
bragol_bronwe_lagor,split_01,0.8324,0.052,1,0,
bragol_nothrim_gas,split_01,0.2525,0.226,1,0,
celair_aerlinn_aes,split_01,0.1663,0.222,1,0,
cirion_ira_Ithil,split_01,0.3325,0.023,1,0,
corch_faun_min,split_01,0.5925,0.014,1,0,
corf_Mirion_toll,split_01,0.5084,0.058,1,0,
cuin_haudh_cenedril,split_01,0.5366,0.013,1,0,
cuin_law_amon,split_01,0.4769,0.067,1,0,
dam_corch_agar,split_01,0.5287,0.205,1,0,
dirnaith_achas_noroth,split_01,0.8448,0.021,1,0,
drafn_araf_ryn,split_01,0.3243,0.01,1,1,
eilian_pilin_fang,split_01,0.1536,0.05,1,0,
eilian_pod_firiel,split_01,0.09443,0.016,1,0,
elu_rusc_nath,split_01,0.826,0.042,1,1,
elvellon_fast_annon,split_01,0.4599,0.05,1,0,
ennorath_guldur_aear,split_01,0.6832,0.008,1,0,
erchion_ungol_aduial,split_01,0.3355,0.01,1,0,
espalass_melethron_ungol,split_01,1.203,0.017,1,0,
espalass_nestad_hul,split_01,0.6164,0.029,1,0,
fae_haeron_merilin,split_01,0.5845,0.008,1,0,
fang_ira_nell,split_01,0.3245,0.036,1,0,
fast_ang_lebenedh,split_01,0.7811,0.018,1,0,
fast_celeb_bregedur,split_01,0.1706,0.285,1,0,
firiel_lend_mithril,split_01,2.401,0.07,1,0,
fuin_bragol_talraph,split_01,0.2981,0.013,1,0,
galad_thangail_pethron,split_01,0.3175,0.055,1,0,
gas_cair_gondrath,split_01,0.1668,0.015,1,0,
gas_glaur_daen,split_01,0.1746,0.025,1,0,
gaurwaith_Ithil_rhach,split_01,0.1758,0.508,1,0,
gli_lembas_galadhrim,split_01,0.4442,0.012,1,0,
gond_aduial_suil,split_01,0.09786,0.023,1,0,
gond_pent_Dornhoth,split_01,0.3305,0.082,1,0,
gondrath_saer_rach,split_01,0.8341,0.094,1,0,
graw_heledir_lunt,split_01,1.032,0.02,1,0,
graw_idhren_narthan,split_01,0.8373,0.018,1,0,
gul_braig_baug,split_01,0.4682,0.077,1,0,
gwador_thurin_hal,split_01,0.1736,0.231,1,0,
gwathui_adan_barad,split_01,0.3883,0.011,1,0,
gwilwileth_aegas_ah,split_01,0.3542,0.037,1,0,
gwilwileth_ungol_aegas,split_01,0.8489,0.083,1,0,
hand_gwathui_alae,split_01,0.8205,0.042,1,0,
hand_parf_gwathui,split_01,1.338,0.097,1,0,
helegnen_luith_raug,split_01,0.1821,0.109,1,0,
helegnen_tathar_hend,split_01,0.8018,0.105,1,0,
hervess_calad_firiel,split_01,0.4009,0.025,1,0,
hervess_hend_lam,split_01,0.4506,0.05,1,1,
hud_fast_hend,split_01,0.1626,0.037,1,0,
imrad_achas_glamor,split_01,0.8,0.015,1,1,
imrad_nothrim_Sindarin,split_01,0.4494,0.014,1,0,
ingem_hub_lembas,split_01,0.3257,0.058,1,0,
ingem_lost_acharn,split_01,0.5344,0.125,1,0,
ist_acharn_pendrath,split_01,0.2138,0.07,1,0,
lagor_narthan_mindon,split_01,0.5087,0.018,1,0,
lang_lalaith_meldir,split_01,0.4382,0.028,1,0,
law_minuial_cabor,split_01,0.815,0.014,1,0,
lebdas_adab_aglareb,split_01,0.3968,0.036,1,0,
limlug_mindon_iar,split_01,0.5887,0.026,1,0,
limlug_pess_gwend,split_01,0.3901,0.082,1,0,
lobor_mithren_fang,split_01,0.312,0.017,1,0,
lossen_pess_duin,split_01,0.1988,0.028,1,0,
lost_ungol_draug,split_01,0.1768,0.129,1,0,
luith_gobennas_ang,split_01,1.131,0.359,1,0,
luith_saig_aranarth,split_01,0.6755,0.06,1,0,
luithien_mindon_eirien,split_01,0.3436,0.074,1,0,
maethor_meldir_rhosc,split_01,0.2127,0.194,1,0,
magor_elvellon_caras,split_01,0.1562,0.05,1,0,
malad_saer_balrog,split_01,0.2828,0.058,1,0,
manadh_gaurwaith_lalaith,split_01,1.338,0.053,1,0,
melethron_panas_aeglir,split_01,0.1916,0.074,1,0,
mereth_aiglos_ram,split_01,1.145,0.035,1,0,
mindon_helegnen_galad,split_01,0.4303,0.051,1,0,
mithril_suil_cugu,split_01,0.179,0.081,1,1,
myril_thurin_ist,split_01,1.859,0.083,1,0,
nadhras_pethron_ulug,split_01,0.1769,0.027,1,0,
narthan_cugu_mir,split_01,0.09049,0.052,1,0,
neledh_eglan_gwaloth,split_01,0.4354,0.028,1,0,
nestad_agarwaen_saer,split_01,0.7086,0.016,1,0,
nimbrethil_adab_maethor,split_01,0.1475,0.032,1,0,
nur_nidh_fuin,split_01,0.3193,0.011,1,0,
ogol_saig_adab,split_01,1.244,0.009,1,0,
onodrim_hervess_firion,split_01,0.2837,0.032,1,0,
paich_Mirion_aeruil,split_01,1.357,0.009,1,0,
paich_erchion_ablad,split_01,1.52,0.083,1,0,
paich_graw_haradrim,split_01,0.4069,0.031,1,0,
panas_lalaith_bronwe,split_01,0.3565,0.027,1,0,
parf_per_ruith,split_01,2.112,0.055,1,0,
pendrath_Gwathuirim_Elrim,split_01,0.159,0.325,1,0,
pent_agor_bronwe,split_01,0.4184,0.1,1,1,
per_hwiniol_nimbrethil,split_01,1.199,0.161,1,0,
perian_gwend_gwilwileth,split_01,1.14,0.025,1,0,
perian_mir_balrog,split_01,0.1552,0.009,1,0,
pethron_corf_menel,split_01,0.1991,0.013,1,0,
raef_hud_baug,split_01,0.151,0.023,1,1,
ram_thavron_rusc,split_01,0.1555,0.011,1,1,
rhach_bellas_alae,split_01,0.3609,0.004,1,0,
rhun_mir_magol,split_01,0.2395,0.124,1,0,
riel_glae_gellui,split_01,0.4458,0.044,1,0,
riel_glass_lasguil,split_01,0.966,0.02,1,0,
riel_nadhras_firiel,split_01,0.1646,0.075,1,0,
ris_hul_minas,split_01,0.8378,0.031,1,0,
ris_perian_Tawarwaith,split_01,0.4146,0.067,1,0,
rist_anwar_amlug,split_01,0.2454,0.087,1,0,
roch_hal_eryn,split_01,1.379,0.037,1,0,
roch_magol_luin,split_01,0.8191,0.051,1,0,
rochben_roch_naer,split_01,0.3472,0.047,1,0,
rom_cae_mil,split_01,0.8086,0.017,1,0,
rom_lass_laug,split_01,0.5683,0.027,1,0,
romru_elvellon_alph,split_01,0.3065,0.012,1,0,
rudh_achas_lachenn,split_01,0.9021,0.032,1,0,
ruith_nell_alph,split_01,0.4689,0.019,1,0,
ruith_nur_aranarth,split_01,0.2025,0.015,1,0,
ryn_amarth_rhach,split_01,1.18,0.009,1,0,
saig_nagol_rodwen,split_01,0.1517,0.15,1,0,
salph_iar_merilin,split_01,0.3409,0.068,1,0,
sammar_luin_rom,split_01,0.4041,0.022,1,0,
soga_forodrim_aith,split_01,0.7238,0.088,1,0,
soga_galad_amon,split_01,0.3023,0.008,1,0,
suil_sogannen_bain,split_01,0.4731,0.07,1,1,
talraph_anann_nestad,split_01,0.7502,0.011,1,0,
tang_aranarth_gwanur,split_01,1.047,0.037,1,0,
tavor_hud_parf,split_01,0.2845,0.02,1,0,
tavor_luin_espalass,split_01,0.8608,0.024,1,0,
thamas_hud_cuil,split_01,0.2896,0.038,1,1,
thul_iar_lalaith,split_01,0.2996,0.008,1,0,
tinnu_maen_gaurwaith,split_01,0.4968,0.086,1,0,
tirith_randir_gwanur,split_01,0.1494,0.159,1,0,
tobas_Elrim_salph,split_01,0.2758,0.064,1,1,
tobas_hub_glandagol,split_01,0.3751,0.013,1,0,
uir_edlothiad_espalass,split_01,0.9238,0.031,1,0,
uruk_narthan_lin,split_01,0.3303,0.043,1,0,
ylf_gath_dannas,split_01,0.3067,0.037,1,0,
Druadan_rodwen_bragol,split_02,0.3249,0.014,1,1,
Elrim_harad_menel,split_02,0.7035,0.043,1,1,
Eluwaith_nestad_in,split_02,0.1411,0.057,1,0,
Ennor_nimp_rovalug,split_02,0.9656,0.015,1,0,
Rochirrim_dunadan_annon,split_02,0.4505,0.01,1,0,
Rochirrim_pennas_fervain,split_02,0.3651,0.007,1,0,
aes_faun_melethron,split_02,0.3338,0.03,1,0,
agor_galenas_pod,split_02,1.658,0.028,1,0,
agor_gaurwaith_hervenn,split_02,0.5263,0.043,1,0,
ah_eirien_mithren,split_02,0.3297,0.017,1,0,
aiglos_iphant_corf,split_02,1.243,0.186,1,0,
amath_lobor_rhun,split_02,0.3376,0.021,1,0,
amloth_gaw_lalaith,split_02,0.3638,0.045,1,0,
amloth_talraph_puig,split_02,0.1386,0.051,1,0,
angos_rochir_aras,split_02,0.3213,0.064,1,1,
ank_raegdan_iaun,split_02,0.8888,0.021,1,0,
araf_gwaun_nagol,split_02,0.1737,0.012,1,0,
aran_lin_gwaun,split_02,0.5582,0.052,1,0,
badhor_mirdan_hwiniol,split_02,1.291,0.198,1,0,
bass_thamas_galadhrim,split_02,1.915,0.009,1,0,
bellas_nell_amath,split_02,0.9208,0.041,1,0,
bellas_rochben_aith,split_02,0.8892,0.033,1,0,
bragol_gwathui_gobennas,split_02,0.4944,0.085,1,0,
bragol_ninglor_ank,split_02,0.3629,0.019,1,0,
braig_dunedhel_elu,split_02,0.1851,0.037,1,0,
calad_suil_badhor,split_02,0.9764,0.032,1,0,
callon_daen_harad,split_02,0.3617,0.052,1,0,
callon_pess_hand,split_02,0.4429,0.077,1,0,
caras_uanui_merilin,split_02,0.2828,0.042,1,0,
celeb_Ithil_cuin,split_02,0.4924,0.043,1,0,
celon_agor_elu,split_02,0.8583,0.018,1,0,
cirdan_araf_maecheneb,split_02,0.1988,0.04,1,0,
cuin_corch_nothrim,split_02,0.3552,0.007,1,0,
cuin_gondrath_aith,split_02,0.1376,0.027,1,0,
cuin_pess_uir,split_02,0.6801,0.015,1,0,
cund_Mirion_dunedhel,split_02,0.2263,0.117,1,0,
dirnaith_heledh_minas,split_02,0.9246,0.351,1,0,
dol_mirdan_adan,split_02,1.066,0.021,1,0,
drafn_achas_rochben,split_02,0.2485,0.029,1,0,
drego_amlug_galadhrim,split_02,0.3793,0.033,1,0,
dunedhel_min_hub,split_02,0.4587,0.017,1,0,
edlothiad_celeb_menel,split_02,0.3601,0.028,1,0,
eilian_hud_lossen,split_02,0.2667,0.052,1,0,
erchion_lend_lain,split_02,0.2004,0.012,1,0,
eredh_nothrim_hador,split_02,0.3184,0.036,1,0,
espalass_ryn_ist,split_02,0.4779,0.018,1,0,
fast_cenedril_pod,split_02,0.2191,0.029,1,0,
faun_heledh_onodrim,split_02,2.63,0.012,1,0,
firiel_tinuviel_ennorath,split_02,0.6018,0.031,1,0,
gador_galad_myril,split_02,0.7805,0.123,1,0,
galadhrim_bellas_amarth,split_02,0.2464,0.048,1,0,
gath_laes_gaur,split_02,0.4214,0.034,1,0,
gaurwaith_tamin_ungol,split_02,0.3112,0.035,1,1,
gaw_hador_peredhel,split_02,2.978,0.016,1,0,
gellui_maecheneb_raef,split_02,0.7269,0.271,1,0,
gil_mithren_luithien,split_02,0.7253,0.03,1,0,
glandagol_dunadan_min,split_02,0.3877,0.019,1,0,
glass_menel_rudh,split_02,0.3169,0.043,1,0,
glass_nidh_cenedril,split_02,0.7997,0.006,1,0,
gobennas_gondrath_puig,split_02,0.2942,0.109,1,0,
gond_Mirion_lain,split_02,2.28,0.129,1,0,
gondrath_haudh_mund,split_02,0.591,0.036,1,0,
gorn_lebenedh_bregedur,split_02,0.2083,0.122,1,0,
gorn_narthan_agar,split_02,0.3135,0.058,1,0,
grond_ogol_pennas,split_02,0.5995,0.016,1,0,
gul_celon_gond,split_02,0.2138,0.035,1,0,
gul_eirien_anwar,split_02,0.2749,0.078,1,0,
gwanur_Gwathuirim_Rochirrim,split_02,0.8757,0.044,1,0,
gwanur_thul_firion,split_02,0.2865,0.025,1,0,
gwarth_bellas_glamor,split_02,0.3249,0.061,1,1,
gwend_grond_Mithrim,split_02,0.5089,0.074,1,0,
harad_archam_cae,split_02,2.625,0.056,1,0,
harad_rochben_forodrim,split_02,0.2032,0.035,1,0,
harad_tirith_mithren,split_02,0.3465,0.012,1,1,
haradrim_fae_maecheneb,split_02,0.4347,0.129,1,0,
haudh_pod_maecheneb,split_02,0.1868,0.019,1,0,
helegnen_faradrim_cae,split_02,0.786,0.02,1,1,
hervenn_rhosc_honeg,split_02,0.7202,0.071,1,0,
hervenn_tang_callon,split_02,0.2768,0.043,1,0,
hervess_bellas_aiglos,split_02,0.4829,0.025,1,0,
honeg_fern_saig,split_02,0.9922,0.025,1,0,
honeg_romru_soga,split_02,0.2863,0.011,1,0,
hud_bregedur_rist,split_02,0.3306,0.048,1,1,
idhren_aear_min,split_02,0.7894,0.115,1,0,
idhren_paich_merilin,split_02,1.192,0.008,1,0,
ithron_andrann_lebdas,split_02,0.3655,0.012,1,0,
lacha_Ennor_ogol,split_02,0.1557,0.037,1,0,
lachenn_dirnaith_gwador,split_02,1.404,0.033,1,0,
lachenn_imlad_cugu,split_02,0.6652,0.072,1,0,
laer_rusc_uruk,split_02,0.7135,0.012,1,0,
lain_imlad_salph,split_02,0.9622,0.145,1,0,
lain_tinuviel_aduial,split_02,0.1681,0.028,1,0,
lam_aeruil_muinthel,split_02,0.3837,0.129,1,0,
lam_anann_gador,split_02,0.821,0.024,1,0,
law_ithildin_andrann,split_02,1.503,0.081,1,0,
law_pent_sammar,split_02,0.3708,0.022,1,0,
lorn_thul_gwathui,split_02,0.2045,0.008,1,0,
loss_iaun_gwael,split_02,0.8871,0.016,1,0,
loss_laer_amloth,split_02,1.36,0.116,1,0,
loss_toll_perian,split_02,0.3681,0.012,1,0,
lossen_aear_faun,split_02,0.2633,0.059,1,0,
luith_fast_aear,split_02,1.466,0.073,1,0,
maethor_tobas_laug,split_02,0.9321,0.039,1,0,
magol_mund_baug,split_02,0.3846,0.056,1,0,
magor_hend_amarth,split_02,1.437,0.041,1,0,
melethron_graw_imrath,split_02,0.3006,0.021,1,1,
menel_hervess_lend,split_02,1.025,0.012,1,0,
mereth_faun_bass,split_02,0.4729,0.027,1,0,
mereth_lachenn_heleg,split_02,0.312,0.018,1,0,
min_noroth_manadh,split_02,1.559,0.028,1,0,
minai_uruk_rochir,split_02,2.404,0.048,1,0,
minas_lain_cirion,split_02,0.253,0.2,1,0,
mindon_tang_firion,split_02,0.4086,0.072,1,0,
minuial_meril_salab,split_02,0.297,0.036,1,0,
morgul_ennorath_magor,split_02,0.3196,0.023,1,0,
morn_sogannen_midh,split_02,0.3699,0.022,1,0,
muinthel_iphant_tathar,split_02,0.8457,0.025,1,0,
