feature,importance_gain_sum
Z,0.0
EBV,0.0
Z_err,0.0
Z_isna,0.0
EBV_isna,0.0
Zerr_isna,0.0
g__n_obs,0.0
i__n_obs,0.0
r__n_obs,0.0
u__n_obs,0.0
y__n_obs,0.0
z__n_obs,0.0
g__flux_mean,0.0
i__flux_mean,0.0
r__flux_mean,0.0
u__flux_mean,0.0
y__flux_mean,0.0
z__flux_mean,0.0
g__flux_std,0.0
i__flux_std,0.0
r__flux_std,0.0
u__flux_std,0.0
y__flux_std,0.0
z__flux_std,0.0
g__min_flux,0.0
i__min_flux,0.0
r__min_flux,0.0
u__min_flux,0.0
y__min_flux,0.0
z__min_flux,0.0
g__max_flux,0.0
i__max_flux,0.0
r__max_flux,0.0
u__max_flux,0.0
y__max_flux,0.0
z__max_flux,0.0
g__amp,0.0
i__amp,0.0
r__amp,0.0
u__amp,0.0
y__amp,0.0
z__amp,0.0
g__snr_mean,0.0
i__snr_mean,0.0
r__snr_mean,0.0
u__snr_mean,0.0
y__snr_mean,0.0
z__snr_mean,0.0
g__frac_snr_gt3,0.0
i__frac_snr_gt3,0.0
r__frac_snr_gt3,0.0
u__frac_snr_gt3,0.0
y__frac_snr_gt3,0.0
z__frac_snr_gt3,0.0
g__frac_snr_gt5,0.0
i__frac_snr_gt5,0.0
r__frac_snr_gt5,0.0
u__frac_snr_gt5,0.0
y__frac_snr_gt5,0.0
z__frac_snr_gt5,0.0
g__time_span,0.0
i__time_span,0.0
r__time_span,0.0
u__time_span,0.0
y__time_span,0.0
z__time_span,0.0
Z_filled,0.0
Zerr_filled,0.0
Z_missing,0.0
Zerr_missing,0.0
log1pZ,0.0
log1pZerr,0.0
inv1pZ,0.0
Z_div_Zerr,0.0
Z_aug,0.0
Z_aug_absdiff,0.0
